State Code,State Name,Month,Arithmetic Mean,1st Max Value,1st Max Hour,AQI
29,Missouri,2020-07,0.25226738709677415,0.3763064516129032,9.625,3.7419354838709675
29,Missouri,2020-08,0.27101587096774193,0.41631048387096775,10.266129032258064,4.217741935483871
29,Missouri,2020-09,0.26481292083333335,0.40918750000000004,11.204166666666666,4.183333333333334
29,Missouri,2020-10,0.2782153266129032,0.47954838709677416,10.306451612903226,4.790322580645162
29,Missouri,2020-11,0.2772541708333333,0.4769416666666667,10.154166666666667,4.875
29,Missouri,2020-12,0.308354370967742,0.5555483870967741,11.048387096774194,5.653225806451613
29,Missouri,2021-01,0.2585433951612903,0.39491129032258065,9.814516129032258,3.951612903225806
29,Missouri,2021-02,0.24628820535714285,0.32992857142857146,7.892857142857143,3.232142857142857
29,Missouri,2021-03,0.2672282661290323,0.41533870967741937,9.080645161290322,3.903225806451613
29,Missouri,2021-04,0.2500483041666667,0.4135416666666667,10.283333333333333,3.9416666666666664
29,Missouri,2021-05,0.26185574596774197,0.4174314516129032,10.326612903225806,4.169354838709678
29,Missouri,2021-06,0.27797530416666666,0.4415958333333333,9.583333333333334,4.25
29,Missouri,2021-07,0.3047831935483871,0.45631854838709685,9.27016129032258,4.693548387096774
29,Missouri,2021-08,0.29827262903225804,0.42078629032258064,9.959677419354838,4.35483870967742
29,Missouri,2021-09,0.3138503916666667,0.49596666666666667,10.3,5.15
29,Missouri,2021-10,0.29532472177419355,0.514491935483871,10.096774193548388,5.241935483870968
29,Missouri,2021-11,0.30509759583333335,0.5546625000000001,10.104166666666668,5.566666666666666
29,Missouri,2021-12,0.275059125,0.4451290322580645,11.205645161290322,4.419354838709678
29,Missouri,2022-01,0.26559255645161295,0.45310080645161294,9.560483870967742,4.556451612903226
29,Missouri,2022-02,0.2656980714285714,0.4388883928571429,10.004464285714285,4.25
29,Missouri,2022-03,0.25519854838709677,0.40357661290322583,8.838709677419356,3.9758064516129035
29,Missouri,2022-04,0.23996216666666667,0.3607625,8.658333333333333,3.4833333333333334
29,Missouri,2022-05,0.24072789919354837,0.3720483870967742,9.306451612903226,3.556451612903226
29,Missouri,2022-06,0.25863607916666664,0.3907791666666667,9.441666666666666,3.791666666666667
29,Missouri,2022-07,0.24910033064516127,0.37674193548387097,9.45967741935484,3.604838709677419
29,Missouri,2022-08,0.26025752956989245,0.4622029569892473,9.38037634408602,4.112903225806452
29,Missouri,2022-09,0.2703873396551724,0.47311910919540234,10.187212643678162,4.5761494252873565
29,Missouri,2022-10,0.27525604032258066,0.5003145161290322,10.189516129032258,4.830645161290322
29,Missouri,2022-11,0.2675054333333333,0.4730416666666667,10.195833333333333,4.666666666666666
29,Missouri,2022-12,0.25679979838709677,0.42193951612903224,10.370967741935484,4.306451612903226
29,Missouri,2023-01,0.2613969677419355,0.43616935483870967,9.75,4.459677419354839
29,Missouri,2023-02,0.26067889285714285,0.44484375,10.558035714285715,4.383928571428571
29,Missouri,2023-03,0.23683029032258063,0.378883064516129,9.786290322580644,3.620967741935484
29,Missouri,2023-04,0.2490864388285024,0.39045416666666666,9.56461352657005,3.657246376811594
29,Missouri,2023-05,0.2789362096774194,0.4291129032258065,9.201612903225806,4.258064516129032
29,Missouri,2023-06,0.31329399166666666,0.4749083333333334,7.8,4.8
29,Missouri,2023-07,0.2561620322580645,0.3679193548387097,8.983870967741936,3.5161290322580645
29,Missouri,2023-08,0.3031847258064516,0.4081532258064516,8.491935483870968,4.241935483870968
29,Missouri,2023-09,0.3318830583333333,0.4761416666666667,9.566666666666666,5.0
29,Missouri,2023-10,0.2862550241935484,0.4637177419354839,9.129032258064516,4.516129032258065
29,Missouri,2023-11,0.326633225,0.5697,10.9,5.75
29,Missouri,2023-12,0.2814065322580645,0.4438467741935484,9.57258064516129,4.596774193548387
29,Missouri,2024-01,0.24469501612903227,0.3394516129032258,9.169354838709678,3.306451612903226
29,Missouri,2024-02,0.2957192155172414,0.4813448275862069,8.870689655172415,4.655172413793103
29,Missouri,2024-03,0.24222914516129032,0.3469032258064516,8.153225806451612,3.2580645161290325
29,Missouri,2024-04,0.243791975,0.38384999999999997,9.591666666666667,3.566666666666667
29,Missouri,2024-05,0.24939507258064517,0.36639516129032257,9.201612903225806,3.4516129032258065
29,Missouri,2024-06,0.224496575,0.3111333333333333,7.675,2.816666666666667
29,Missouri,2024-07,0.24740026612903226,0.34508870967741934,9.258064516129032,3.306451612903226
29,Missouri,2024-08,0.2644494758064516,0.356,8.330645161290322,3.467741935483871
29,Missouri,2024-09,0.27991578333333333,0.4316583333333333,8.541666666666666,4.283333333333333
29,Missouri,2024-10,0.3148788629032258,0.5021693548387096,7.588709677419355,4.870967741935484
29,Missouri,2024-11,0.22694477500000002,0.33981666666666666,9.133333333333333,3.2333333333333334
29,Missouri,2024-12,0.2302837822580645,0.34462096774193546,8.959677419354838,3.3225806451612905
29,Missouri,2025-01,0.29178135685483875,0.4937963709677419,10.808467741935484,4.737903225806452
29,Missouri,2025-02,0.31302635089285713,0.4105875,7.327678571428571,4.2125
29,Missouri,2025-03,0.2526289128411911,0.38709615384615387,8.676488833746898,3.779776674937965
30,Montana,2018-01,0.17865675806451614,0.26945967741935484,7.185483870967742,2.064516129032258
30,Montana,2018-02,0.16435829464285714,0.20267857142857143,7.410714285714286,1.75
30,Montana,2018-03,0.1570118629032258,0.19173387096774194,6.008064516129032,1.596774193548387
30,Montana,2018-04,0.1564967625,0.18189166666666667,6.616666666666667,1.692982456140351
30,Montana,2018-05,0.16359723279569893,0.18425483870967743,6.118548387096774,1.6989247311827957
30,Montana,2018-06,0.16702670833333333,0.1952,6.291666666666666,1.8
30,Montana,2018-07,0.1941451129032258,0.23216935483870965,5.629032258064516,2.129032258064516
30,Montana,2018-08,0.2790567066532258,0.34578326612903226,8.65893817204301,3.685483870967742
30,Montana,2018-09,0.17677348333333334,0.22394999999999998,6.391666666666667,2.083333333333333
30,Montana,2018-10,0.15835396847507333,0.20765542521994135,7.176319648093841,1.8636363636363635
30,Montana,2018-11,0.14894033563218392,0.16734741379310344,6.343390804597702,1.55
30,Montana,2018-12,0.15175132480533926,0.19117658509454952,7.065072302558399,1.5850945494994437
30,Montana,2019-01,0.16442993548387097,0.22313709677419355,7.798387096774194,1.903225806451613
30,Montana,2019-02,0.1740721785714286,0.21560714285714286,7.1875,1.875
30,Montana,2019-03,0.16510095788530466,0.20413440860215054,6.728195937873357,1.8273596176821982
30,Montana,2019-04,0.16153215833333334,0.1764,5.883333333333333,1.5499999999999998
30,Montana,2019-05,0.16728638709677418,0.1946935483870968,6.75,1.790322580645161
30,Montana,2019-06,0.17237250833333334,0.20668333333333333,6.158333333333333,1.9166666666666665
30,Montana,2019-07,0.185020011827957,0.2227790322580645,6.761827956989247,2.089861751152074
30,Montana,2019-08,0.19608425806451613,0.2495,6.403225806451612,2.274193548387097
30,Montana,2019-09,0.16710133333333335,0.2081625,6.233333333333333,1.8916666666666666
30,Montana,2019-10,0.14523879838709677,0.17943548387096775,6.475806451612903,1.6935483870967745
