state,month,vmt,ndvi,flights,co_mean,co_max1_value,co_max1_hour,co_aqi,no2_mean,no2_max1_value,no2_max1_hour,no2_aqi,pm25_mean,pm25_max1_value,pm25_max1_hour,pm25_aqi,pm10_mean,pm10_max1_value,pm10_max1_hour,pm10_aqi,so2_mean,so2_max1_value,so2_max1_hour,so2_aqi,o3_mean,o3_max1_value,o3_max1_hour,o3_aqi,awnd,prcp,tavg,tmax,tmin,snow,snwd,ihd_deaths,copd_deaths,asthma_deaths
Alabama,2018-01,5101.0,0.5525177987631826,6819.0,0.2703115322580645,0.527258064516129,10.153225806451612,5.209677419354839,12.32059914516129,25.530645161290323,12.370967741935484,23.693548387096776,7.515251389525952,8.260443838843669,0.5739279961690827,38.429748067439064,13.448971892095832,13.448971892095832,10.837492925863046,12.324636860969628,0.8157931526977726,3.306720430107527,10.778033794162829,4.868279569892473,0.0268689193548387,0.0332741935483871,11.85483870967742,30.725806451612904,3.1193548387096777,34.4,4.341935483870968,10.332258064516129,-1.167741935483871,0.0,0.0,1085,414,
Alabama,2018-02,4975.0,0.5415357960063348,6417.0,0.2193431964285714,0.4021428571428571,10.383928571428571,3.946428571428571,8.593591982142858,19.073214285714283,14.339285714285714,17.482142857142858,6.941954005673494,7.566863969363969,0.5759615384615384,36.67892246642246,10.477777777777778,10.477777777777778,10.559126984126983,9.553174603174602,0.4836330224931318,1.914978250915751,10.904761904761903,2.8138736263736264,0.0236679831349206,0.0244831349206349,21.21924603174603,22.709325396825395,3.5142857142857147,206.8,14.110714285714286,19.65,9.039285714285716,0.0,0.0,810,259,
Alabama,2018-03,5952.0,0.5658816284838981,7507.0,0.2267163758064516,0.4077043010752688,8.952150537634408,3.7473118279569895,9.844573387096776,23.711290322580645,13.258064516129032,21.903225806451612,7.808001430977266,8.504546895756572,0.691442965636514,40.389585056520545,16.36981915933529,16.36981915933529,10.94286412512219,15.090933528836755,1.1902397369431643,3.7284466205837177,10.345622119815667,5.593125960061444,0.0347441634860526,0.0432881424341592,10.4689932990494,40.16599657160667,3.5580645161290323,104.9,12.97741935483871,19.358064516129037,6.551612903225807,0.0,0.0,872,284,
Alabama,2018-04,6145.0,0.6799992809706604,7541.0,0.2146038583333333,0.3923111111111111,8.93611111111111,3.705555555555556,8.93735595,23.546666666666667,12.366666666666667,21.85,7.023024330617716,7.881201243201243,0.4693939393939393,37.271410256410256,13.844161490683229,13.844161490683229,11.163757763975156,12.716031746031746,1.0587761027777778,3.236666666666667,10.890277777777778,4.95,0.0371386348050842,0.0472611774007176,10.388947880557076,45.017963267043726,3.5266666666666664,209.6,15.72,22.576666666666664,8.696666666666665,0.0,0.0,843,311,
Alabama,2018-05,6253.0,0.7619645081272222,8002.0,0.3026088494623656,0.4903655913978494,9.212365591397848,4.946236559139785,11.115237467741936,25.403225806451612,13.129032258064516,23.612903225806452,9.180485430661108,9.9243327862349,0.6002120978761691,45.01311460343719,19.020225294418843,19.020225294418843,11.232590885816691,17.556246799795186,0.7140987782258065,2.452016129032258,9.3252688172043,3.7096774193548385,0.0304898318450989,0.0455757651550568,9.495067009505998,45.17211002025869,2.141935483870968,177.2,23.75483870967742,29.88387096774193,18.39354838709677,0.0,0.0,761,305,
Alabama,2018-06,6240.0,0.7869411777150446,8210.0,0.3571945722222222,0.5317666666666666,8.633333333333333,5.277777777777778,9.5578627,22.618333333333336,12.55,20.833333333333332,9.589852266419692,10.391535575535576,0.6838569763569763,46.44246078707617,22.610317460317457,22.610317460317457,11.078306878306876,20.720529100529102,0.6477811348412283,2.3708113462208287,9.361262045744803,3.6638293858121447,0.025273438231527,0.0390178960043787,9.339123700054731,38.79064805692392,2.1766666666666667,146.6,25.99,32.14,20.876666666666665,0.0,0.0,766,251,
Alabama,2018-07,6105.0,0.8107450821770296,8245.0,0.2351227661290322,0.3817365591397849,7.795698924731182,3.698924731182796,8.678762532258064,20.73064516129032,12.03225806451613,19.129032258064516,9.442052219553206,10.202125956480796,0.6569140536882472,48.043760719567175,16.807081635833388,16.807081635833388,10.82950421870478,15.63405017921147,0.7148160177315964,2.73012451258419,10.585164835164836,4.228701406120761,0.0267922167721019,0.0406858762347527,9.332489851021554,38.0850681193729,2.032258064516129,46.0,27.048387096774192,32.84193548387096,22.387096774193548,0.0,0.0,902,226,
Alabama,2018-08,6364.0,0.799172089334892,8431.0,0.2255081827956989,0.3628655913978494,8.317204301075268,3.4838709677419355,8.4566985,18.708064516129035,12.693548387096774,17.338709677419356,8.650099121881802,9.379845273205488,0.6679911884212959,42.496144226603285,16.92328079431866,16.92328079431866,11.03403682183486,15.663034573343127,0.5750238888440861,1.757741935483871,9.661962365591398,2.371505376344086,0.0234206561290322,0.0361522580645161,9.221935483870968,33.5831541218638,2.1806451612903226,59.0,26.648387096774197,32.60967741935484,22.1,0.0,0.0,822,279,
Alabama,2018-09,5529.0,0.7808037612937997,7769.0,0.2203186333333333,0.36405,9.31111111111111,3.511111111111111,8.55012295,18.64333333333333,15.983333333333333,17.15,6.284157632498057,6.992646076146077,0.6705011655011656,34.29397435897436,13.674444444444443,13.674444444444443,11.028571428571428,12.63246031746032,0.6487541361111111,2.2759027777777776,8.777777777777777,3.2944444444444447,0.0193630604599104,0.0307582498982498,9.247000407000408,28.509216524216527,2.013333333333333,109.6,26.633333333333333,32.69,22.166666666666668,0.0,0.0,736,218,
Alabama,2018-10,5876.0,0.7512073352702738,8299.0,0.2473611612903225,0.464494623655914,9.564516129032258,4.623655913978495,10.140641032258063,22.391935483870967,14.82258064516129,20.677419354838708,7.516119709664887,8.20966714289295,0.6672682156553124,39.727212572373865,16.485938021772522,16.485938021772522,11.282832431710412,15.270146263273892,0.9683716129032258,3.064583333333333,9.958333333333332,4.602150537634409,0.0226827782795698,0.0346704659498207,9.75978494623656,32.19046594982079,2.2870967741935484,26.5,19.654838709677417,25.59354838709677,14.23225806451613,0.0,0.0,808,259,
