state,month,mean_pm25,max1_value_pm25,max1_hour_pm25,aqi_pm25,mean_pm10,max1_value_pm10,max1_hour_pm10,aqi_pm10,mean_o3,max1_value_o3,max1_hour_o3,aqi_o3,mean_no2,max1_value_no2,max1_hour_no2,aqi_no2,mean_so2,max1_value_so2,max1_hour_so2,aqi_so2,mean_co,max1_value_co,max1_hour_co,aqi_co
Maine,2022-08,4.568055624260753,6.86575940860215,5.272715053763441,25.1994623655914,9.268817204301074,9.268817204301074,3.8333333333333335,8.468100358422939,0.0244700372434017,0.0318005865102639,11.025708699902248,29.929032258064513,2.523172564516129,6.719354838709678,11.725806451612904,5.870967741935484,0.043897064516129,0.089516129032258,5.0,0.0,0.1512740161290322,0.1733870967741935,7.161290322580645,1.6774193548387095
Maine,2022-09,3.270043390277778,5.237395833333333,4.318402777777778,17.9472341954023,7.713888888888889,7.713888888888889,3.8333333333333335,7.101851851851852,0.0208964363636363,0.0273,11.2,25.26212121212121,2.9801942857142856,7.567380952380952,13.764285714285714,6.783333333333333,0.0799179166666666,0.5575000000000001,5.783333333333333,0.9833333333333332,0.1295384,0.1508166666666666,6.383333333333334,1.4333333333333331
Maine,2022-10,4.118175807123656,6.769469086021505,4.92002688172043,22.679905913978494,7.497311827956989,7.497311827956989,3.8333333333333335,6.977329749103943,0.0219107532385141,0.0284179902248289,11.838599217986316,26.452689149560115,7.239849290322581,17.15806451612903,13.774193548387096,15.709677419354838,0.1212109193548387,0.1774193548387097,5.645161290322581,0.0,0.1335253548387097,0.1562903225806451,6.919354838709677,1.5161290322580645
Maine,2022-11,4.494165272222222,7.256388888888889,4.681597222222222,24.443402777777777,10.494444444444444,10.494444444444444,3.8333333333333335,9.738888888888887,0.0283092444444444,0.0323055555555555,11.588888888888889,29.899999999999995,7.632174655172414,19.020689655172415,11.10344827586207,17.586206896551722,0.1207894166666666,0.1666666666666666,5.483333333333333,0.0,0.12833925,0.1501333333333333,6.15,1.3666666666666667
Maine,2022-12,4.738444851335967,7.593295313735328,5.615117169797718,22.896441179593353,10.011111111111113,10.011111111111113,3.8333333333333335,9.33611111111111,0.0292806419753086,0.0325925925925925,12.203703703703704,30.104938271604937,9.082350846153846,19.623076923076923,12.576923076923077,18.03846153846154,0.1114917777777777,0.1481481481481481,4.444444444444445,0.0,0.1331059629629629,0.151,6.777777777777778,1.3703703703703705
Maine,2023-01,3.9390645971325617,6.493767413528259,4.9929966828221835,21.75403972520908,9.684261974584556,9.684261974584556,7.3181818181818175,9.024079504724666,0.0285055120967741,0.0322959677419354,12.456451612903226,29.888709677419357,6.085584806451613,15.15258064516129,10.912903225806453,13.941935483870967,0.05707565,0.0853225806451613,6.02741935483871,0.0,0.179263625,0.2300666666666667,8.108333333333334,2.2333333333333334
Maine,2023-02,4.7560162061755955,8.164661458333335,4.562239583333334,25.24375,13.946428571428571,13.946428571428571,7.666666666666667,12.79563492063492,0.035398834025974,0.0374252813852813,15.99008658008658,34.5380735930736,6.263465482142857,17.59107142857143,10.910714285714285,16.196428571428573,0.1160497946428571,0.1857142857142857,7.017857142857142,0.0,0.1673045446428571,0.2312142857142857,7.821428571428571,2.142857142857143
Maine,2023-03,3.725506414616935,6.344230510752688,4.1479838709677415,20.393929211469533,14.621863799283156,14.621863799283156,7.666666666666667,13.30179211469534,0.0409934478494623,0.0442052785923753,11.11642228739003,40.99682306940372,4.102182760483871,11.03241935483871,10.470967741935484,10.076612903225806,0.0993978306451612,0.157258064516129,6.088709677419355,0.0,0.1614592580645161,0.2226370967741935,7.274193548387097,2.0161290322580645
Maine,2023-04,3.5841959516898148,5.997130787037037,4.7799652777777775,19.73669061302682,12.068518518518518,12.068518518518518,7.666666666666667,11.072222222222225,0.0400661954545454,0.0448136363636363,11.19090909090909,42.22575757575758,3.3064948858974357,9.08448717948718,9.328205128205129,8.214102564102564,0.0683603833333333,0.16,5.958333333333334,0.05,0.1464258494047619,0.1848446428571428,6.690476190476191,1.6964285714285714
Maine,2023-05,4.375528096345188,7.14456512772373,5.159866587017125,24.356374069478907,14.206810035842294,14.206810035842294,7.666666666666667,13.112365591397849,0.0367949314760508,0.0428068426197458,10.856109481915936,39.93675464320626,2.274575112903226,6.851612903225806,11.5,6.161290322580646,0.0503187903225806,0.1346774193548387,6.903225806451612,0.0,0.136853129032258,0.1791290322580645,7.685483870967742,1.6774193548387095
Maine,2023-06,5.9749554336458335,8.805000496031745,5.227232142857143,30.103055555555557,12.418518518518518,12.418518518518518,11.074074074074074,11.32685185185185,0.0277001469696969,0.0341424242424242,11.813636363636364,32.18333333333333,2.046474,5.633333333333333,11.466666666666669,5.033333333333333,0.0034067916666666,0.0383333333333333,4.091666666666667,0.0,0.1883985166666666,0.2331833333333333,7.491666666666666,2.2666666666666666
Maine,2023-07,8.533914504614696,12.477144777265744,7.004435483870967,44.411755124741774,16.96548899129544,16.96548899129544,14.694444444444445,15.480696364567333,0.0287037463343108,0.0366788856304985,11.321114369501466,34.65542521994135,2.521695112903226,6.808064516129032,12.370967741935484,6.048387096774194,0.0046493225806451,0.0225806451612903,2.8870967741935485,0.0,0.2193274193548387,0.2650967741935484,6.854838709677419,2.661290322580645
Maine,2023-08,5.907720710196514,8.671924360400446,5.717218205413422,30.015985023041477,13.688709677419356,13.688709677419356,15.024193548387096,12.42258064516129,0.0248650527859237,0.0309802052785923,11.563440860215056,28.70268817204301,2.3462491774193546,6.551612903225807,13.516129032258064,5.838709677419355,0.0042913951612903,0.0193548387096774,2.6451612903225805,0.0,0.2062946774193548,0.2360806451612903,7.225806451612904,2.225806451612903
Maine,2023-09,7.916686465588624,11.082648148148149,6.232888558201059,36.53163580246913,16.110493827160493,16.110493827160493,14.907407407407408,14.861111111111112,0.0201806230581678,0.0275383315917798,10.868797167073028,25.489266225473123,3.3581307547619046,9.468095238095238,13.719047619047618,8.56547619047619,0.01340515,0.0541666666666666,4.808333333333334,0.0,0.2090620249999999,0.2471166666666666,7.791666666666666,2.333333333333333
Maine,2023-10,5.268740752827215,7.735591397849462,5.691803392658509,27.256279868578257,11.84921146953405,11.84921146953405,15.086021505376344,10.972473118279572,0.0228722316511675,0.0299529004030297,10.944944877444446,27.832965326893223,3.381103087634409,8.165591397849461,11.11505376344086,7.337096774193548,0.0260435161290322,0.0806451612903225,4.516129032258064,0.0483870967741935,0.1897888387096774,0.2183790322580645,6.661290322580646,2.096774193548387
Maine,2023-11,5.449766478391203,8.415443287037037,5.618009259259259,29.238766025641027,10.643055555555556,10.643055555555556,15.013888888888888,9.844444444444443,0.0270506888888888,0.0314277777777777,10.669444444444444,29.183333333333337,4.4784703666666665,11.503333333333332,12.7,10.583333333333334,0.0754698333333333,0.1091666666666666,3.9916666666666663,0.0,0.1730221583333333,0.20585,7.391666666666667,2.1
