State Code,State Name,Month,Arithmetic Mean,1st Max Value,1st Max Hour,AQI
13,Georgia,2021-11,19.16111111111111,19.16111111111111,15.333333333333334,17.733333333333334
13,Georgia,2021-12,17.925376344086022,17.925376344086022,15.333333333333334,16.525806451612905
13,Georgia,2022-01,14.9494623655914,14.9494623655914,15.333333333333334,13.724193548387097
13,Georgia,2022-02,18.66190476190476,18.66190476190476,15.333333333333334,17.24325396825397
13,Georgia,2022-03,18.629390681003585,18.629390681003585,15.333333333333334,17.234408602150538
13,Georgia,2022-04,19.606172839506172,19.606172839506172,15.333333333333334,18.237037037037037
13,Georgia,2022-05,18.6752688172043,18.6752688172043,15.333333333333334,17.30322580645161
13,Georgia,2022-06,23.111111111111114,23.111111111111114,15.333333333333334,21.433333333333334
13,Georgia,2022-07,17.92258064516129,17.92258064516129,15.333333333333334,16.61935483870968
13,Georgia,2022-08,17.246236559139785,17.246236559139785,15.333333333333334,15.953763440860214
13,Georgia,2022-09,16.8,16.8,15.333333333333334,15.544444444444444
13,Georgia,2022-10,17.153917050691245,17.153917050691245,15.333333333333334,15.883179723502304
13,Georgia,2022-11,15.104938271604937,15.104938271604937,15.333333333333334,13.986419753086418
13,Georgia,2022-12,13.88326816552623,13.88326816552623,15.333333333333334,12.833251873574454
13,Georgia,2023-01,14.024372759856632,14.024372759856632,15.333333333333334,12.968458781362008
13,Georgia,2023-02,15.07738095238095,15.07738095238095,15.333333333333334,13.958333333333334
13,Georgia,2023-03,20.46326164874552,20.46326164874552,15.333333333333334,18.939964157706093
13,Georgia,2023-04,18.211111111111112,18.211111111111112,15.333333333333334,16.877777777777776
13,Georgia,2023-05,16.43763440860215,16.43763440860215,15.333333333333334,15.198924731182794
13,Georgia,2023-06,24.7,24.7,15.333333333333334,22.833333333333332
13,Georgia,2023-07,23.926075268817204,23.926075268817204,15.333333333333334,22.173387096774192
13,Georgia,2023-08,18.399233716475095,18.399233716475095,15.333333333333334,17.028735632183906
13,Georgia,2023-09,17.288888888888888,17.288888888888888,15.333333333333334,16.066666666666666
13,Georgia,2023-10,15.921505376344086,15.921505376344086,15.333333333333334,14.781720430107526
13,Georgia,2023-11,18.61111111111111,18.61111111111111,15.333333333333334,17.27777777777778
13,Georgia,2023-12,17.053763440860212,17.053763440860212,15.333333333333334,15.704301075268816
13,Georgia,2024-01,10.701612903225808,10.701612903225808,15.333333333333334,9.810931899641577
13,Georgia,2024-02,14.918103448275863,14.918103448275863,15.333333333333334,13.676724137931034
13,Georgia,2024-03,15.651433691756273,15.651433691756273,15.333333333333334,14.456093189964157
13,Georgia,2024-04,18.37049808429119,18.37049808429119,15.333333333333334,16.989655172413794
13,Georgia,2024-05,15.33763440860215,15.33763440860215,15.333333333333334,14.227956989247312
13,Georgia,2024-06,16.872222222222224,16.872222222222224,15.333333333333334,15.769047619047619
13,Georgia,2024-07,15.656708742402992,15.656708742402992,15.333333333333334,14.500280504908835
13,Georgia,2024-08,20.166666666666668,20.166666666666668,15.333333333333334,18.62929292929293
