year,month,state,vmt
2004,2,Alabama,4372.0
2004,2,Arkansas,2008.0
2004,2,Kentucky,3254.0
2004,2,Louisiana,3099.0
2004,2,Mississippi,2831.0
2004,2,Oklahoma,3390.0
2004,2,Tennessee,5370.0
2004,2,Texas,17522.0
2004,2,Alaska,325.0
2004,2,Arizona,4367.0
2004,2,California,24155.0
2004,2,Colorado,3185.0
2004,2,Hawaii,567.0
2004,2,Idaho,1018.0
2004,2,Montana,765.0
2004,2,Nevada,1364.0
2004,2,New Mexico,1803.0
2004,2,Oregon,2547.0
2004,2,Utah,1665.0
2004,2,Washington,4071.0
2004,2,Wyoming,582.0
2004,1,Connecticut,2267.0
2004,1,Maine,1115.0
2004,1,Massachusetts,4239.0
2004,1,New Hampshire,964.0
2004,1,New Jersey,5011.0
2004,1,New York,9706.0
2004,1,Pennsylvania,7073.0
2004,1,Rhode Island,417.0
2004,1,Vermont,582.0
2004,1,Delaware,648.0
2004,1,District of Columbia,292.0
2004,1,Florida,15437.0
2004,1,Georgia,9065.0
2004,1,Maryland,4039.0
2004,1,North Carolina,6925.0
2004,1,South Carolina,3804.0
2004,1,Virginia,5901.0
2004,1,West Virginia,1358.0
2004,1,Illinois,7624.0
2004,1,Indiana,5671.0
2004,1,Iowa,2187.0
2004,1,Kansas,2090.0
2004,1,Michigan,7790.0
2004,1,Minnesota,4081.0
2004,1,Missouri,4848.0
2004,1,Nebraska,1336.0
2004,1,North Dakota,493.0
2004,1,Ohio,8229.0
2004,1,South Dakota,606.0
2004,1,Wisconsin,4170.0
2004,1,Alabama,4548.0
2004,1,Arkansas,2335.0
2004,1,Kentucky,3360.0
2004,1,Louisiana,3325.0
2004,1,Mississippi,2961.0
2004,1,Oklahoma,3413.0
2004,1,Tennessee,5504.0
2004,1,Texas,18027.0
2004,1,Alaska,324.0
2004,1,Arizona,4373.0
2004,1,California,23168.0
2004,1,Colorado,3426.0
2004,1,Hawaii,634.0
2004,1,Idaho,1027.0
2004,1,Montana,767.0
2004,1,Nevada,1446.0
2004,1,New Mexico,1966.0
2004,1,Oregon,2636.0
2004,1,Utah,1828.0
2004,1,Washington,4049.0
2004,1,Wyoming,870.0
2004,7,Connecticut,2823.0
2004,7,Maine,1425.0
2004,7,Massachusetts,4994.0
2004,7,New Hampshire,1217.0
2004,7,New Jersey,5877.0
2004,7,New York,12048.0
2004,7,Pennsylvania,9562.0
2004,7,Rhode Island,755.0
2004,7,Vermont,712.0
2004,7,Delaware,925.0
2004,7,District of Columbia,335.0
2004,7,Florida,16056.0
2004,7,Georgia,9470.0
2004,7,Maryland,4753.0
2004,7,North Carolina,8369.0
2004,7,South Carolina,4545.0
2004,7,Virginia,7394.0
2004,7,West Virginia,1748.0
2004,7,Illinois,9471.0
2004,7,Indiana,6356.0
2004,7,Iowa,2862.0
2004,7,Kansas,2538.0
2004,7,Michigan,8952.0
2004,7,Minnesota,5091.0
2004,7,Missouri,6335.0
2004,7,Nebraska,1785.0
2004,7,North Dakota,778.0
2004,7,Ohio,10169.0
2004,7,South Dakota,889.0
2004,7,Wisconsin,5821.0
2004,7,Alabama,5323.0
2004,7,Arkansas,2854.0
2004,7,Kentucky,4205.0
2004,7,Louisiana,4013.0
2004,7,Mississippi,3357.0
2004,7,Oklahoma,4284.0
2004,7,Tennessee,6672.0
2004,7,Texas,19622.0
2004,7,Alaska,509.0
2004,7,Arizona,4355.0
2004,7,California,29604.0
2004,7,Colorado,3957.0
2004,7,Hawaii,714.0
2004,7,Idaho,1423.0
2004,7,Montana,1192.0
2004,7,Nevada,1677.0
2004,7,New Mexico,2214.0
2004,7,Oregon,3512.0
2004,7,Utah,2295.0
2004,7,Washington,5366.0
2004,7,Wyoming,925.0
2004,6,Connecticut,2701.0
2004,6,Maine,1349.0
